SKU,ASIN,Description,Category,Warehouse,loc,quantity,Available,Committed,PO Reordered,Low Stock Threshold,Price,avg cost,Weight,30 Day Shipments,TV,Length,Width,Height,UPC,Tags
MRCHHATGRY01,,Franny's Farmacy Hemp/Cotton Caps color: Grey,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.0,0.00,0.00,0,0,0,,
MRCHKZBLK001,,Franny's Farmacy Branded Koozies color: Black,,Distribution Warehouse,,-1.000000,-1.000000,0.000000,0.000000,1,2.00,0.00,0.014375,3.00,-0.00,4,1,5,,
MRCHKZGRN001,,Franny's Farmacy Branded Koozies color: Green,,Distribution Warehouse,,10.000000,10.000000,0.000000,0.000000,1,2.00,0.00,0.014375,3.00,0.00,4,1,5,,
MRCHKZGRY001,,Franny's Farmacy Branded Koozies color: Grey,,Distribution Warehouse,,43.000000,43.000000,0.000000,0.000000,1,2.00,0.00,0.014375,3.00,0.00,4,1,5,,
MRKTING00007,,Kraft Mylar Smell-proof Bags 1/4oz/7grams (100 pieces),,Distribution Warehouse,,-1.000000,-1.000000,0.000000,0.000000,1,414.00,0.00,25.0,5.00,-0.00,12,12,10,,
MRKTING00035,,Kraft Mylar Smell-proof Bags 1/8oz/3.5grams (100 pieces),,Distribution Warehouse,,-2.000000,-2.000000,0.000000,0.000000,1,336.00,0.00,8.0625,5.00,-0.00,12,9,6,,
MRKTING00750,,Flower Labels,,Distribution Warehouse,,4.000000,4.000000,0.000000,0.000000,1,300.00,0.00,1.625,1.00,0.00,6,6,3,,
PET100MG0005,,Calming Dog Treats,,Distribution Warehouse,,188.000000,184.000000,4.000000,204.000000,1,25.00,0.00,0.68125,186.00,0.00,3,3,4,,
PETPBTTR80MG,,Peanut Butter for Pets,,Distribution Warehouse,,53.000000,48.000000,5.000000,0.000000,1,20.00,0.00,0.9875,78.00,0.00,3,3,4,810040710162,
RCOTTO113,,Bulk Otto II Hemp Flower weight: 113g,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,1,395.50,0.00,0.3125,0.00,0.00,0,0,0,,
RCOTTO227,,Bulk Otto II Hemp Flower weight: 227g,,Distribution Warehouse,,4.000000,4.000000,0.000000,0.000000,1,794.50,0.00,0.5625,0.00,0.00,0,0,0,,
RCOTTO28,,Bulk Otto II Hemp Flower weight: 28g,,Distribution Warehouse,,8.000000,8.000000,0.000000,0.000000,1,196.00,0.00,0.09375,0.00,0.00,0,0,0,,
SMKRAWBLK319,,Case: RAW Papers - Classic Black,,Distribution Warehouse,,2.000000,2.000000,0.000000,0.000000,1,72.00,0.00,0.2375,3.00,0.00,6,4,2,716165250319,
SQ2910586,,RAW Classic Connoisseur Rolling Papers 1 1/4 + tips,,Distribution Warehouse,,6.000000,6.000000,0.000000,0.000000,1,3.75,1.42,0.025625,3.00,8.52,3,1,1,716165176107,
SQ6088376,,Pulsar Cartridge Battery,,Distribution Warehouse,,4.000000,4.000000,0.000000,0.000000,1,15.00,0.00,0.015625,0.00,0.00,2,1,1,,
SQ878BLBK,,Franny's Farmacy Hemp Trucker Hat color: Black/Black,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.15,0.00,0.00,7,6,3,,
SQ878BRTN,,Franny's Farmacy Hemp Trucker Hat color: Brown/Tan,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.15,0.00,0.00,7,6,3,,
SQ878GRBL,,Franny's Farmacy Hemp Trucker Hat color: Grey/Black,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.15,0.00,0.00,7,6,3,,
SQ878GRTN,,Franny's Farmacy Hemp Trucker Hat color: Green/Tan,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.15,0.00,0.00,7,6,3,,
SQ878NVTN,,Franny's Farmacy Hemp Trucker Hat color: Navy/Tan,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.15,0.00,0.00,7,6,3,,
TIN1000ISO30,,Franny's Farmacy CBD Tincture - Isolate potency: 1000mg,Tincture,Distribution Warehouse,,40.000000,40.000000,0.000000,0.000000,1,149.99,33.47,0.178125,13.00,1338.80,2,2,5,850000154001,
TIN1000NAT30,,Franny's Farmacy CBD Tincture - Natural potency: 1000mg,Tincture,Distribution Warehouse,,39.000000,38.000000,1.000000,50.000000,1,149.99,33.47,0.178125,64.00,1305.33,2,2,5,850000154049,
TIN1000PEP30,,Franny's Farmacy CBD Tincture - Peppermint potency: 1000mg,Tincture,Distribution Warehouse,,81.000000,76.000000,5.000000,50.000000,1,149.99,33.47,0.178125,34.00,2711.07,2,2,5,850000154056,
TIN125NAT30,,Franny's Farmacy CBD Tincture - Natural potency: 125mg,Tincture,Distribution Warehouse,,72.000000,70.000000,2.000000,0.000000,1,35.00,9.00,0.178125,99.00,648.00,2,2,5,,
TIN200MGPET,,Pet Tincture,,Distribution Warehouse,,38.000000,35.000000,3.000000,100.000000,1,45.00,0.00,0.178125,111.00,0.00,2,2,5,,
TIN250ISO30,,Franny's Farmacy CBD Tincture - Isolate potency: 250mg,Tincture,Distribution Warehouse,,39.000000,39.000000,0.000000,0.000000,1,59.99,12.50,0.178125,22.00,487.50,2,2,5,850000154001,
TIN250NAT30,,Franny's Farmacy CBD Tincture - Natural potency: 250mg,Tincture,Distribution Warehouse,,79.000000,78.000000,1.000000,50.000000,1,59.99,12.50,0.178125,124.00,987.50,2,2,5,850000154001,
TIN250PEP30,,Franny's Farmacy CBD Tincture - Peppermint potency: 250mg,Tincture,Distribution Warehouse,,54.000000,54.000000,0.000000,100.000000,1,59.99,12.50,0.178125,90.00,675.00,2,2,5,850000154018,
TIN4000NAT30,,Franny's Farmacy CBD Tincture - Natural potency: 4000mg,Tincture,Distribution Warehouse,,10.000000,10.000000,0.000000,0.000000,1,400.00,110.00,0.178125,13.00,1100.00,2,2,5,,
TIN500ISO30,,Franny's Farmacy CBD Tincture - Isolate potency: 500mg,Tincture,Distribution Warehouse,,33.000000,33.000000,0.000000,0.000000,1,99.99,18.91,0.178125,17.00,624.03,2,2,5,850000154001,
TIN500NAT30,,Franny's Farmacy CBD Tincture - Natural potency: 500mg,Tincture,Distribution Warehouse,,22.000000,16.000000,6.000000,150.000000,1,99.99,18.91,0.178125,126.00,416.02,2,2,5,850000154025,
TIN500PEP30,,Franny's Farmacy CBD Tincture - Peppermint potency: 500mg,Tincture,Distribution Warehouse,,4.000000,0.000000,4.000000,100.000000,1,99.99,18.91,0.178125,81.00,75.64,2,2,5,850000154032,
TOP040ZDGSHMP,,Dog Shampoo Bar,TOPICAL,Distribution Warehouse,,27.000000,26.000000,1.000000,0.000000,1,7.00,2.00,0.340625,14.00,54.00,4,2,3,,
TOP04OZCDRW,,Hemp Oil Soap scent: Cedarwood,Topical,Distribution Warehouse,,15.000000,12.000000,3.000000,0.000000,1,6.50,1.75,0.34375,15.00,26.25,4,2,3,,
TOP04OZLMGR,,Hemp Oil Soap scent: Lemongrass,Topical,Distribution Warehouse,,33.000000,30.000000,3.000000,0.000000,1,6.50,1.75,0.34375,21.00,57.75,4,2,3,,
TOP04OZOATM,,"Hemp Oil Soap scent: Milk, Honey & Oatmeal",Topical,Distribution Warehouse,,29.000000,23.000000,6.000000,0.000000,1,6.50,1.75,0.34375,21.00,50.75,4,2,3,,
TOP04OZPMNT,,Hemp Oil Soap scent: Peppermint,Topical,Distribution Warehouse,,36.000000,33.000000,3.000000,0.000000,1,6.50,1.75,0.34375,21.00,63.00,4,2,3,,
TOP04OZSNWD,,Hemp Oil Soap scent: Sandalwood,Topical,Distribution Warehouse,,1.000000,1.000000,0.000000,0.000000,1,6.50,1.75,0.34375,14.00,1.75,4,2,3,,
TOP04OZTTREE,,Hemp Oil Soap scent: Charcoal with Tea Tree,Topical,Distribution Warehouse,,56.000000,50.000000,6.000000,0.000000,1,6.50,1.75,0.34375,22.00,98.00,4,2,3,,
